"page","region","type","texte_ou_label","href_ou_action","target","rel","name","input_type","required","id","classes","aria","visible_1440","visible_390","details"
"https://www.syntheticswarm.ai/","main","button+palier_prix","10","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+palier_prix","20","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+palier_prix","50","","","","","button","","","is-active","aria-pressed=true","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+palier_prix","100","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+palier_prix","200","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/","main","button+palier_prix","200+","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/","main","lien_externe","Choose this plan","https://app.syntheticswarm.ai/ui/","","","","","","","pricing-config-btn","","oui","oui",""
"https://www.syntheticswarm.ai/","main","lien_externe+demo","","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","btn-get-started pricing-config-btn","","non","non",""
"https://www.syntheticswarm.ai/","main","details","How does it work in practice?","","","","","","","","pricing-faq-item","","oui","oui","open=false"
"https://www.syntheticswarm.ai/","main","summary","How does it work in practice?","","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","main","details","What information do I get?","","","","","","","","pricing-faq-item","","oui","oui","open=false"
"https://www.syntheticswarm.ai/","main","summary","What information do I get?","","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","main","details","Am I allowed to call these people?","","","","","","","","pricing-faq-item","","oui","oui","open=false"
"https://www.syntheticswarm.ai/","main","summary","Am I allowed to call these people?","","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_externe+demo","Book a demo","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","btn-get-started","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Explore our solution →","/our-solution","","","","","","","brand-close-solution","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","form","Newsletter","/api/newsletter","","","","","","","newsletter-form","aria-label=Newsletter","oui","oui","method=post action=/api/newsletter champs=email:email*|:submit|company_website:text"
"https://www.syntheticswarm.ai/","footer","input_email","Your email","","","","email","email","oui","","","aria-label=Your email","oui","oui",""
"https://www.syntheticswarm.ai/","footer","button","Subscribe","","","","","submit","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","input_text","","","","","company_website","text","","","newsletter-honeypot","aria-hidden=true","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Synthetic Swarm","/","","","","","","","logo","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_externe","Log in","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","brand-close-login","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Our solution","/our-solution","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Pricing","/pricing","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","FAQ","/faq","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","About","/about","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","pseudo_lien_desactive","Customers","","","","","","","","nav-disabled","role=link aria-disabled=true","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Careers","/careers","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","pseudo_lien_desactive","Media","","","","","","","","nav-disabled","role=link aria-disabled=true","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Contact","/contact","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Legal Notice","/legal-notice","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Privacy","/privacy","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Terms","/terms","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","footer","lien_interne","Opt out","/opt-out","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/","menu_mobile","button","Close menu","","","","","button","","","mobile-menu-close","aria-label=Close menu","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_interne","","/our-solution","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_interne","","/pricing","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_interne","","/about","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_interne","","/careers","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","pseudo_lien_desactive","","","","","","","","","nav-disabled","role=link aria-disabled=true","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","button+disclosure","Choose language","","","","","button","","","language-trigger shared-chevron-trigger","aria-expanded=false aria-controls=mobile-header-language-options aria-label=Choose language","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_interne+langue","EN","/","","","","","","","","aria-current=true","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_interne+langue","FR","/index-fr","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_externe","","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","btn-login header-action","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","button+disclosure+demo","","","","","","button","","","btn-get-started header-action","aria-expanded=false aria-controls=mobile-header-demo-options","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_externe","AxelCEO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/","menu_mobile","lien_externe","IlanCTO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/","pastille_demo","lien_externe","Book a demo 15 min with the team","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","floating-demo-button","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","autre","ancre","Aller au contenu","#main","","","","","","","skip-link","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne","Synthetic Swarm","/index-fr","","","","","","","logo","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne","Notre solution","/notre-solution","","","","","","","","","oui","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne","Tarifs","/tarifs","","","","","","","","","oui","non",""
"https://www.syntheticswarm.ai/index-fr","header","button+disclosure","À propos","","","","","button","","","nav-link-dropdown shared-chevron-trigger","aria-expanded=false aria-controls=header-about-options","oui","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne","Qui sommes-nous","/a-propos","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne","Recrutement","/recrutement","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","pseudo_lien_desactive","Médias","","","","","","","","nav-disabled","role=link aria-disabled=true","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","button+disclosure","Choisir la langue","","","","","button","","","language-trigger shared-chevron-trigger","aria-expanded=false aria-controls=header-language-options aria-label=Choisir la langue","oui","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne+langue","FR","/index-fr","","","","","","","","aria-current=true","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_interne+langue","EN","/","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_externe","Connexion","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","btn-login header-action","","oui","non",""
"https://www.syntheticswarm.ai/index-fr","header","button+disclosure+demo","Démo","","","","","button","","","btn-get-started header-action","aria-expanded=false aria-controls=header-demo-options","oui","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_externe","AxelCEO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","lien_externe","IlanCTO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/index-fr","header","button","Ouvrir le menu","","","","","button","","","mobile-menu-toggle","aria-label=Ouvrir le menu aria-controls=mobile-menu aria-expanded=false","non","oui",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe+demo","Réserver une démo","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","btn-get-started","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","lien_interne","Découvrir notre solution","/notre-solution","","","","","","","page-button page-button--secondary","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","input_checkbox","Mettre le défilement en pause","","","","","checkbox","","","","aria-label=Mettre le défilement en pause","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Camille R. 15 sept. Cabinet d’architecture Première embauche","","","","","button","","","prospect-choice","aria-pressed=true aria-controls=profile-camille","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Thomas B. 14 sept. Cabinet dentaire Passage en SELARL","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-thomas","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Sonia M. 13 sept. Pharmacie Nouvel associé","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-sonia","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Julien D. 12 sept. Entreprise BTP Reprise d’activité","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-julien","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Élodie P. 11 sept. Cabinet comptable Création d’une holding","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-elodie","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Marc L. 10 sept. Cabinet d’avocats Transmission amorcée","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-marc","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Sarah V. 9 sept. Clinique vétérinaire Nouvel établissement","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-sarah","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Nicolas G. 8 sept. Garage automobile Changement de dirigeant","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-nicolas","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Claire T. 7 sept. Agence immobilière Création d’une SCI","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-claire","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+prospect","Antoine F. 6 sept. Commerce spécialisé Croissance + recrutement","","","","","button","","","prospect-choice","aria-pressed=false aria-controls=profile-antoine","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","LinkedIn ↗","https://www.linkedin.com/","_blank","noopener noreferrer","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","lien_interne","En savoir plus →","/notre-solution","","","","","","","prospect-preview-link","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","input_range+curseur_volume","Leads par semaine","","","","","range","","","pricing-range","aria-valuetext=50 leads par semaine aria-label=Leads par semaine","oui","oui","min=0 max=5 value=2 step=1"
"https://www.syntheticswarm.ai/index-fr","main","button+palier_prix","10","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+palier_prix","20","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+palier_prix","50","","","","","button","","","is-active","aria-pressed=true","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+palier_prix","100","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+palier_prix","200","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","button+palier_prix","200+","","","","","button","","","","aria-pressed=false","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe","Choisir ce forfait","https://app.syntheticswarm.ai/ui/","","","","","","","pricing-config-btn","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","lien_externe+demo","","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","btn-get-started pricing-config-btn","","non","non",""
"https://www.syntheticswarm.ai/index-fr","main","details","Comment ça marche concrètement ?","","","","","","","","pricing-faq-item","","oui","oui","open=false"
"https://www.syntheticswarm.ai/index-fr","main","summary","Comment ça marche concrètement ?","","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","details","Quelles informations j'obtiens ?","","","","","","","","pricing-faq-item","","oui","oui","open=false"
"https://www.syntheticswarm.ai/index-fr","main","summary","Quelles informations j'obtiens ?","","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","main","details","Est-ce que j'ai le droit d'appeler ces personnes ?","","","","","","","","pricing-faq-item","","oui","oui","open=false"
"https://www.syntheticswarm.ai/index-fr","main","summary","Est-ce que j'ai le droit d'appeler ces personnes ?","","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_externe+demo","Réserver une démo","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","btn-get-started","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Voir notre solution →","/notre-solution","","","","","","","brand-close-solution","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","form","Newsletter","/api/newsletter","","","","","","","newsletter-form","aria-label=Newsletter","oui","oui","method=post action=/api/newsletter champs=email:email*|:submit|company_website:text"
"https://www.syntheticswarm.ai/index-fr","footer","input_email","Votre email","","","","email","email","oui","","","aria-label=Votre email","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","button","S’inscrire","","","","","submit","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","input_text","","","","","company_website","text","","","newsletter-honeypot","aria-hidden=true","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Synthetic Swarm","/index-fr","","","","","","","logo","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_externe","Se connecter","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","brand-close-login","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Notre solution","/notre-solution","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Tarifs","/tarifs","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","FAQ","/faq-fr","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","À propos","/a-propos","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","pseudo_lien_desactive","Nos clients","","","","","","","","nav-disabled","role=link aria-disabled=true","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Recrutement","/recrutement","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","pseudo_lien_desactive","Médias","","","","","","","","nav-disabled","role=link aria-disabled=true","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Contact","/contact-fr","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Mentions légales","/mentions-legales","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Confidentialité","/confidentialite","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Conditions","/conditions","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","footer","lien_interne","Opposition","/opposition","","","","","","","","","oui","oui",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","button","Fermer le menu","","","","","button","","","mobile-menu-close","aria-label=Fermer le menu","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_interne","","/notre-solution","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_interne","","/tarifs","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_interne","","/a-propos","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_interne","","/recrutement","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","pseudo_lien_desactive","","","","","","","","","nav-disabled","role=link aria-disabled=true","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","button+disclosure","Choisir la langue","","","","","button","","","language-trigger shared-chevron-trigger","aria-expanded=false aria-controls=mobile-header-language-options aria-label=Choisir la langue","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_interne+langue","FR","/index-fr","","","","","","","","aria-current=true","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_interne+langue","EN","/","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_externe","","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","btn-login header-action","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","button+disclosure+demo","","","","","","button","","","btn-get-started header-action","aria-expanded=false aria-controls=mobile-header-demo-options","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_externe","AxelCEO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/index-fr","menu_mobile","lien_externe","IlanCTO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
"https://www.syntheticswarm.ai/index-fr","pastille_demo","lien_externe","Réserver une démo 15 min avec l’équipe","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","floating-demo-button","","oui","oui",""
"https://www.syntheticswarm.ai/our-solution","autre","ancre","Skip to content","#main","","","","","","","skip-link","","oui","oui",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne","Synthetic Swarm","/","","","","","","","logo","","oui","oui",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne","Our solution","/our-solution","","","","","","","","aria-current=page","oui","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne","Pricing","/pricing","","","","","","","","","oui","non",""
"https://www.syntheticswarm.ai/our-solution","header","button+disclosure","About","","","","","button","","","nav-link-dropdown shared-chevron-trigger","aria-expanded=false aria-controls=header-about-options","oui","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne","Who we are","/about","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne","Careers","/careers","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/our-solution","header","pseudo_lien_desactive","Media","","","","","","","","nav-disabled","role=link aria-disabled=true","non","non",""
"https://www.syntheticswarm.ai/our-solution","header","button+disclosure","Choose language","","","","","button","","","language-trigger shared-chevron-trigger","aria-expanded=false aria-controls=header-language-options aria-label=Choose language","oui","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne+langue","EN","/our-solution","","","","","","","","aria-current=true","non","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_interne+langue","FR","/notre-solution","","","","","","","","","non","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_externe","Log in","https://app.syntheticswarm.ai/ui/","_blank","noopener noreferrer","","","","","btn-login header-action","","oui","non",""
"https://www.syntheticswarm.ai/our-solution","header","button+disclosure+demo","Demo","","","","","button","","","btn-get-started header-action","aria-expanded=false aria-controls=header-demo-options","oui","non",""
"https://www.syntheticswarm.ai/our-solution","header","lien_externe","AxelCEO↗","https://calendar.app.google/91k1Mpontca7NGea6","_blank","noopener noreferrer","","","","","demo-booking-person","","non","non",""
